target,experiment,algorithm,split,threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,positive_rate,predicted_positive_rate,n_rows,n_positive,top_10_precision,top_10_recall,top_20pct_precision,top_20pct_recall,forecast_window_weeks,forecast_window_label
y_next_air_drone_any,model2_plus_lagged_acled,gru,test,0.35,0.829736211031175,0.7641379310344828,0.8305847076461769,0.7959770114942529,0.9036441987158194,0.9148048353445656,0.3998800814151764,0.434652278177458,1668,667,1.0,0.1816049286839774,0.9970238095238096,0.5070813709366058,2,next_2_weeks
y_next_strategic_developments_any,naive_baseline,naive,test,0.5,0.8926858513189448,0.8527004909983633,0.8540983606557377,0.8533988533988534,0.7816474056407258,0.8845160990424246,0.3657074340527578,0.3663069544364508,1668,610,0.8583333333333334,0.1715082040974898,0.8392857142857143,0.4675683113183113,2,next_2_weeks
y_next_strategic_developments_any,model1_non_acled_only,linear,test,0.45,0.7296163069544365,0.6153846153846154,0.6950819672131148,0.6528098537336413,0.7059516380879236,0.7931513217019431,0.3657074340527578,0.4130695443645084,1668,610,0.8666666666666668,0.1725262006512006,0.7708333333333334,0.4299463268213268,2,next_2_weeks
y_next_strategic_developments_any,model1_non_acled_only,lightgbm,test,0.45,0.7673860911270983,0.6728971962616822,0.7081967213114754,0.6900958466453674,0.7376452602998171,0.8256577520220646,0.3657074340527578,0.3848920863309352,1668,610,0.95,0.1902520759663617,0.7738095238095237,0.4313811849526135,2,next_2_weeks
y_next_strategic_developments_any,model1_non_acled_only,catboost,test,0.45,0.7799760191846523,0.7350096711798839,0.6229508196721312,0.6743566992014197,0.7439448387845159,0.8330905822926028,0.3657074340527578,0.3099520383693045,1668,610,0.9250000000000002,0.1852213428106285,0.7797619047619047,0.4340535621785621,2,next_2_weeks
y_next_strategic_developments_any,model1_non_acled_only,gru,test,0.55,0.7476019184652278,0.6367583212735166,0.7213114754098361,0.676402767102229,0.7230544447970808,0.8070780005578109,0.3657074272632599,0.4142685851318944,1668,610,0.9083333333333335,0.1814820265713123,0.7410714285714285,0.4129457843743558,2,next_2_weeks
y_next_strategic_developments_any,model2_plus_lagged_acled,linear,test,0.5,0.7404076738609112,0.6241234221598878,0.7295081967213115,0.672713529856387,0.7404187709663136,0.8272056772754037,0.3657074340527578,0.4274580335731415,1668,610,0.9166666666666666,0.1840600537029108,0.7678571428571429,0.4298564861064861,2,next_2_weeks
y_next_strategic_developments_any,model2_plus_lagged_acled,lightgbm,test,0.65,0.7823741007194245,0.7282809611829945,0.6459016393442623,0.684622067767159,0.766123185657606,0.8408751433264123,0.3657074340527578,0.3243405275779376,1668,610,0.9416666666666668,0.1886061524454381,0.8333333333333334,0.4666662702376987,2,next_2_weeks
y_next_strategic_developments_any,model2_plus_lagged_acled,catboost,test,0.6,0.7991606714628298,0.7733598409542743,0.6377049180327868,0.6990116801437556,0.7798163581945281,0.8524714121912671,0.3657074340527578,0.3015587529976019,1668,610,0.9666666666666668,0.1935907511800368,0.8452380952380952,0.4719500572179143,2,next_2_weeks
y_next_strategic_developments_any,model2_plus_lagged_acled,gru,test,0.55,0.7793764988009593,0.6753623188405797,0.7639344262295082,0.7169230769230769,0.7826927965536632,0.8495227617837553,0.3657074272632599,0.4136690647482014,1668,610,0.9583333333333334,0.1916968117860975,0.8690476190476192,0.4844992639635496,2,next_2_weeks
y_next_battle_any,naive_baseline,naive,test,0.5,0.9808153477218226,0.9377431906614786,0.9377431906614786,0.9377431906614786,0.888954617771059,0.9632018575561114,0.1540767386091127,0.1540767386091127,1668,257,0.9583333333333334,0.4538220505516463,0.7172619047619047,0.9403000254258834,3,next_3_weeks
y_next_battle_any,model1_non_acled_only,linear,test,0.7,0.8782973621103117,0.6153846153846154,0.5603112840466926,0.5865580448065173,0.5939968833918142,0.8895200853769851,0.1540767386091127,0.1402877697841726,1668,257,0.6249999999999999,0.2915420252615142,0.5892857142857143,0.774302615802425,3,next_3_weeks
y_next_battle_any,model1_non_acled_only,lightgbm,test,0.55,0.934652278177458,0.8032786885245902,0.7626459143968871,0.782435129740519,0.8795370427287599,0.9745054835960918,0.1540767386091127,0.1462829736211031,1668,257,0.9833333333333334,0.4650173367469325,0.6785714285714285,0.890434462950672,3,next_3_weeks
y_next_battle_any,model1_non_acled_only,catboost,test,0.25,0.9406474820143884,0.7969924812030075,0.8249027237354085,0.8107074569789675,0.8943876134943994,0.9781814371240972,0.1540767386091127,0.1594724220623501,1668,257,0.9666666666666668,0.4557580774876733,0.7053571428571429,0.9267134174552176,3,next_3_weeks
y_next_battle_any,model1_non_acled_only,gru,test,0.8,0.9214628297362112,0.6932515337423313,0.8793774319066148,0.7753001715265866,0.8707556300484134,0.974334509013394,0.1540767401456833,0.1954436450839328,1668,257,0.9416666666666668,0.4444960001929872,0.6875,0.9006789293354892,3,next_3_weeks
